Manufacturer,Name,Category,URL
ROG,ROG Clavis,Portable DAC,https://rog.asus.com/uk/headsets-audio/accessories/rog-clavis-model/
Zorloo,Ztella MK II Integrated USB-DAC Cable,Portable DAC,https://www.zorloo.com/ztella2
Zorloo,Ztella Integrated USB-DAC Cable,Portable DAC,https://www.zorloo.com/ztella
Astell&Kern, Astell&KernKANN MAX,Portable Player,https://www.astellnkern.com/product/product_detail.jsp?productNo=133
Astell&Kern,A&ultima SP2000T,Portable Player,https://www.astellnkern.com/product/product_detail.jsp?productNo=22
Astell&Kern,A&futura SE180,Portable Player,https://www.astellnkern.com/product/product_detail.jsp?productNo=2
Astell&Kern,Astell & KernKANN ALPHA,Portable Player,https://www.astellnkern.com/product/product_detail.jsp?productNo=7
Astell&Kern,Astell&Kern SA700,Portable Player,https://www.astellnkern.com/product/product_detail.jsp?productNo=29
Astell&Kern,A&futura SE200,Portable Player,https://www.astellnkern.com/product/product_detail.jsp?productNo=23
Cayin, Cayin N8ii,Portable Player,https://en.cayin.cn/features/7/15/560.html
Cayin,Cayin N3 Pro,Portable Player,https://en.cayin.cn/features/7/15/340.html
Cayin, Cayin N6ii Series,Portable Players,https://en.cayin.cn/features/7/15/150/339.html
Cayin,Cayin N8 series,Portable Players,https://en.cayin.cn/features/7/15/338.html
FiiO, FiiO BTR7,Portable DAC,https://www.fiio.com/btr7
FiiO, FiiO Q3,Portable DAC,https://www.fiio.com/q3mqa
FiiO,Jade Audio KA1,Portable DAC,https://www.fiio.com/KA1
FiiO,FiiO M17,Portable Player,https://www.fiio.com/m17
FiiO,FiiO K9 Pro,DAC,https://www.fiio.com/K9PRO
FiiO,FiiO M11 Plus LTD,Portable Player,https://fiio.com/m11plusltd
FiiO,FiiO M15,Portable Player,https://www.fiio.com/m15
FiiO,FiiO M11 Pro,Portable Player,https://www.fiio.com/m11pro
FiiO,FiiO M11,Portable Player,https://www.fiio.com/m11
HiBy Music,Hiby R5II,Portable Player,https://store.hiby.com/products/hiby-r5-gen-2
HiBy Music,HiBy RS6,Portable Player,https://store.hiby.com/collections/trending-manually/products/hiby-rs6
HiBy Music,HiBy Music FC5,Portable DAC,https://store.hiby.com/collections/trending-manually/products/hiby-fc5
HiBy Music,New HiBy R6,Portable Player,https://store.hiby.com/products/hiby-r6-2020
HiBy Music,HiBy Music R3 ProSaber,Portable Player,https://store.hiby.com/products/hiby-r3-pro-saber
HiBy Music,HiBy Music R8,Portable Player,https://store.hiby.com/products/hiby-r8
HiBy Music,HiBy Music R2,Portable Player,https://store.hiby.com/products/hiby-r2
HIDIZS,HIDIZS AP80 Pro-X,Portable Player,https://www.hidizs.net/products/ap80-pro-x-fully-balanced-lossless-music-player-ayfk
HIDIZS,HIDIZS AP80,Portable Player,https://www.hidizs.net/products/ap80-high-resolution-portable-music-player
HIDIZS,HIDIZS S3 PRO,Portable DAC,https://www.hidizs.net/products/hidizs-s3-pro-ultra-portable-hi-res-dac-dongle
iBasso Audio, iBasso DC06,Portable DAC,https://www.ibasso-shop.eu/?product=ibasso-dc06-black-preorder-available-at-the-begging-of-may
iBasso Audio, iBasso DX320,Portable Player,https://ibasso.com/product/dx320/
iBasso Audio,iBasso DX240,Portable Player,https://ibasso.com/product/dx240/
iBasso Audio,iBasso DX300,Portable Player,http://ibasso.com/product/dx300/
iBasso Audio,iBasso DX160,Portable Player,http://www.ibasso.com/product/dx160
Lotoo, Lotoo PAW 6000,Portable Player,http://m.lotoo.cn/en/6k-index.html
Lotoo,Lotoo PAW S2,Portable DAC,http://m.lotoo.cn/en/PAWS2-index.html
Lotoo,Lotoo PAW GoldTouch,Portable Player,http://m.lotoo.cn/en/touch-app.html
Lotoo,Lotoo PAW S1,Portable DAC,http://m.lotoo.cn/en/PAWS1-index.html
SHANLING, Shanling M7,Portable Player,https://en.shanling.com/product/416
SHANLING, Shanling EA5 Desktop Streamer,DAC,https://en.shanling.com/product/410
SHANLING, Shanling EM5 Streaming Centre,DAC,https://en.shanling.com/product/407
SHANLING, Shanling M9,Portable Player,https://en.shanling.com/product/412
SHANLING,Shanling UP5,Portable DAC,https://en.shanling.com/product/406
SHANLING,Shanling M6 Pro,Portable Player,https://en.shanling.com/product/267
SHANLING,Shanling M3X,Portable Player,https://en.shanling.com/article-M3XIntro.html
SHANLING,Shanling M30,Portable Player,https://en.shanling.com/product/393
